asset_type,frame_number,participant_id,practicing,block_num,trial_num,task_type,target_size,target_loc,distractor_size,distractor_loc
Prefix,54406,6,0,1,38,GBYK,large,left,small,right
Prefix,54407,6,0,1,38,GBYK,large,left,small,right
Prefix,54408,6,0,1,38,GBYK,large,left,small,right
Prefix,54409,6,0,1,38,GBYK,large,left,small,right
Prefix,54410,6,0,1,38,GBYK,large,left,small,right
Prefix,54411,6,0,1,38,GBYK,large,left,small,right
Prefix,54412,6,0,1,38,GBYK,large,left,small,right
Prefix,54413,6,0,1,38,GBYK,large,left,small,right
Prefix,54414,6,0,1,38,GBYK,large,left,small,right
Prefix,54415,6,0,1,38,GBYK,large,left,small,right
Prefix,54416,6,0,1,38,GBYK,large,left,small,right
Prefix,54417,6,0,1,38,GBYK,large,left,small,right
Prefix,54418,6,0,1,38,GBYK,large,left,small,right
Prefix,54419,6,0,1,38,GBYK,large,left,small,right
Prefix,54420,6,0,1,38,GBYK,large,left,small,right
Prefix,54421,6,0,1,38,GBYK,large,left,small,right
Prefix,54422,6,0,1,38,GBYK,large,left,small,right
Prefix,54423,6,0,1,38,GBYK,large,left,small,right
Prefix,54424,6,0,1,38,GBYK,large,left,small,right
Prefix,54425,6,0,1,38,GBYK,large,left,small,right
Prefix,54426,6,0,1,38,GBYK,large,left,small,right
Prefix,54427,6,0,1,38,GBYK,large,left,small,right
Prefix,54428,6,0,1,38,GBYK,large,left,small,right
Prefix,54429,6,0,1,38,GBYK,large,left,small,right
Prefix,54430,6,0,1,38,GBYK,large,left,small,right
Prefix,54431,6,0,1,38,GBYK,large,left,small,right
Prefix,54432,6,0,1,38,GBYK,large,left,small,right
Prefix,54433,6,0,1,38,GBYK,large,left,small,right
Prefix,54434,6,0,1,38,GBYK,large,left,small,right
Prefix,54435,6,0,1,38,GBYK,large,left,small,right
Prefix,54436,6,0,1,38,GBYK,large,left,small,right
Prefix,54437,6,0,1,38,GBYK,large,left,small,right
Prefix,54438,6,0,1,38,GBYK,large,left,small,right
Prefix,54439,6,0,1,38,GBYK,large,left,small,right
Prefix,54440,6,0,1,38,GBYK,large,left,small,right
Prefix,54441,6,0,1,38,GBYK,large,left,small,right
Prefix,54442,6,0,1,38,GBYK,large,left,small,right
Prefix,54443,6,0,1,38,GBYK,large,left,small,right
Prefix,54444,6,0,1,38,GBYK,large,left,small,right
Prefix,54445,6,0,1,38,GBYK,large,left,small,right
Prefix,54446,6,0,1,38,GBYK,large,left,small,right
Prefix,54447,6,0,1,38,GBYK,large,left,small,right
Prefix,54448,6,0,1,38,GBYK,large,left,small,right
Prefix,54449,6,0,1,38,GBYK,large,left,small,right
Prefix,54450,6,0,1,38,GBYK,large,left,small,right
Prefix,54451,6,0,1,38,GBYK,large,left,small,right
Prefix,54452,6,0,1,38,GBYK,large,left,small,right
Prefix,54453,6,0,1,38,GBYK,large,left,small,right
Prefix,54454,6,0,1,38,GBYK,large,left,small,right
Prefix,54455,6,0,1,38,GBYK,large,left,small,right
Prefix,54456,6,0,1,38,GBYK,large,left,small,right
Prefix,54457,6,0,1,38,GBYK,large,left,small,right
Prefix,54458,6,0,1,38,GBYK,large,left,small,right
Prefix,54459,6,0,1,38,GBYK,large,left,small,right
Prefix,54460,6,0,1,38,GBYK,large,left,small,right
Prefix,54461,6,0,1,38,GBYK,large,left,small,right
Prefix,54462,6,0,1,38,GBYK,large,left,small,right
Prefix,54463,6,0,1,38,GBYK,large,left,small,right
Prefix,54464,6,0,1,38,GBYK,large,left,small,right
Prefix,54465,6,0,1,38,GBYK,large,left,small,right
Prefix,54466,6,0,1,38,GBYK,large,left,small,right
Prefix,54467,6,0,1,38,GBYK,large,left,small,right
Prefix,54468,6,0,1,38,GBYK,large,left,small,right
Prefix,54469,6,0,1,38,GBYK,large,left,small,right
Prefix,54470,6,0,1,38,GBYK,large,left,small,right
Prefix,54471,6,0,1,38,GBYK,large,left,small,right
Prefix,54472,6,0,1,38,GBYK,large,left,small,right
Prefix,54473,6,0,1,38,GBYK,large,left,small,right
Prefix,54474,6,0,1,38,GBYK,large,left,small,right
Prefix,54475,6,0,1,38,GBYK,large,left,small,right
Prefix,54476,6,0,1,38,GBYK,large,left,small,right
Prefix,54477,6,0,1,38,GBYK,large,left,small,right
Prefix,54478,6,0,1,38,GBYK,large,left,small,right
Prefix,54479,6,0,1,38,GBYK,large,left,small,right
Prefix,54480,6,0,1,38,GBYK,large,left,small,right
Prefix,54481,6,0,1,38,GBYK,large,left,small,right
Prefix,54482,6,0,1,38,GBYK,large,left,small,right
Prefix,54483,6,0,1,38,GBYK,large,left,small,right
Prefix,54484,6,0,1,38,GBYK,large,left,small,right
Prefix,54485,6,0,1,38,GBYK,large,left,small,right
Prefix,54486,6,0,1,38,GBYK,large,left,small,right
Prefix,54487,6,0,1,38,GBYK,large,left,small,right
Prefix,54488,6,0,1,38,GBYK,large,left,small,right
Prefix,54489,6,0,1,38,GBYK,large,left,small,right
Prefix,54490,6,0,1,38,GBYK,large,left,small,right
Prefix,54491,6,0,1,38,GBYK,large,left,small,right
Prefix,54492,6,0,1,38,GBYK,large,left,small,right
Prefix,54493,6,0,1,38,GBYK,large,left,small,right
Prefix,54494,6,0,1,38,GBYK,large,left,small,right
Prefix,54495,6,0,1,38,GBYK,large,left,small,right
Prefix,54496,6,0,1,38,GBYK,large,left,small,right
Prefix,54497,6,0,1,38,GBYK,large,left,small,right
Prefix,54498,6,0,1,38,GBYK,large,left,small,right
Prefix,54499,6,0,1,38,GBYK,large,left,small,right
Prefix,54500,6,0,1,38,GBYK,large,left,small,right
Prefix,54501,6,0,1,38,GBYK,large,left,small,right
Prefix,54502,6,0,1,38,GBYK,large,left,small,right
Prefix,54503,6,0,1,38,GBYK,large,left,small,right
Prefix,54504,6,0,1,38,GBYK,large,left,small,right
Prefix,54505,6,0,1,38,GBYK,large,left,small,right
Prefix,54506,6,0,1,38,GBYK,large,left,small,right
Prefix,54507,6,0,1,38,GBYK,large,left,small,right
Prefix,54508,6,0,1,38,GBYK,large,left,small,right
