asset_type,pos_x,pos_y,pos_z,participant_id,practicing,block_num,trial_num,task_type,target_size,target_loc,distractor_size,distractor_loc
LegacyMarker,0.658534824848175,0.0510348305106163,0.027273114770650864,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.6585670113563538,0.05103785917162895,0.02728447876870632,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.6585984826087952,0.05103600770235062,0.027283094823360443,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.6586309671401978,0.05104408413171768,0.027298463508486748,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.6586814522743225,0.05106126889586449,0.027357349172234535,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.6587020754814148,0.051063019782304764,0.027386054396629333,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.6587177515029907,0.051068104803562164,0.027418822050094604,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.6587304472923279,0.051050327718257904,0.027476821094751358,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.6587328314781189,0.05104820057749748,0.02751823514699936,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.6587257385253906,0.05105133354663849,0.027545947581529617,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.6587215065956116,0.05104072391986847,0.027575891464948654,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.6587123870849609,0.051041364669799805,0.02758805640041828,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.6587134599685669,0.051037292927503586,0.027605092152953148,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.658706784248352,0.05103142932057381,0.027624933049082756,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.6587148308753967,0.05102861672639847,0.0276511088013649,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.6587275862693787,0.051021769642829895,0.027660544961690903,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.6587353348731995,0.05102339759469032,0.02767815813422203,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.6587358713150024,0.05102382227778435,0.027704346925020218,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.6587507724761963,0.051015887409448624,0.027735449373722076,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.6587644815444946,0.05101986229419708,0.027752218768000603,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.6587780117988586,0.05101753771305084,0.027784977108240128,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.6587883830070496,0.0510178841650486,0.027815988287329674,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.6587972044944763,0.05101647228002548,0.02784748002886772,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.6587674021720886,0.05096873268485069,0.027878716588020325,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.6587638854980469,0.0509670227766037,0.027916299179196358,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.6587471961975098,0.050970178097486496,0.02796340174973011,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.6587445139884949,0.05095900595188141,0.028046153485774994,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.6587113738059998,0.05095745995640755,0.0280870720744133,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.6586840748786926,0.050954803824424744,0.028120528906583786,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.6586468815803528,0.050951603800058365,0.028154801577329636,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.6586554050445557,0.05092569440603256,0.02818414196372032,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.6586489677429199,0.05092268064618111,0.028196221217513084,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.658623218536377,0.05094216391444206,0.02818354405462742,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.658668041229248,0.05091403424739838,0.02817799150943756,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.6586742401123047,0.05091017857193947,0.028173331171274185,6,0,1,55,GBYK,small,right,large,left
LegacyMarker,0.6586794257164001,0.050910189747810364,0.028170276433229446,6,0,1,55,GBYK,small,right,large,left
