asset_type,asset_ID,pos_x,pos_y,pos_z,marker_size,param,residual,participant_id,practicing,block_num,trial_num,task_type,target_size,target_loc,distractor_size,distractor_loc
AssetMarker,130,9.183689745645554e-41,0.6405495405197144,0.05293021723628044,-0.07122433185577393,-2296,1.485788690244449e-37,6,0,1,5,GBYK,small,left,small,right
AssetMarker,966735463,9.183970005338419e-41,0.6835797429084778,0.02037220261991024,0.007280825171619654,-11646,1.4857857755436432e-37,6,0,1,5,GBYK,small,left,small,right
AssetMarker,967866941,9.184110135184851e-41,0.6442497968673706,0.057978685945272446,-0.04362092912197113,23382,1.4857872328940461e-37,6,0,1,5,GBYK,small,left,small,right
AssetMarker,963006630,2.2715048106705285e-42,0.6649661064147949,0.05070510134100914,0.025150207802653313,24854,1.674614723299051e-39,6,0,1,5,GBYK,small,left,small,right
AssetMarker,966333192,2.3499775246727182e-42,0.33615782856941223,0.2961423397064209,0.6571571230888367,-2625,1.67441994281251e-39,6,0,1,5,GBYK,small,left,small,right
AssetMarker,130,9.183689745645554e-41,0.6405230760574341,0.052941929548978805,-0.07122785598039627,-2107,1.485788690244449e-37,6,0,1,5,GBYK,small,left,small,right
AssetMarker,966412805,9.183970005338419e-41,0.683550238609314,0.020349783822894096,0.007233881391584873,-15504,1.4857857755436432e-37,6,0,1,5,GBYK,small,left,small,right
AssetMarker,967984312,9.184110135184851e-41,0.6442389488220215,0.05797620862722397,-0.04363461956381798,23887,1.4857872328940461e-37,6,0,1,5,GBYK,small,left,small,right
AssetMarker,963034136,2.2715048106705285e-42,0.6649665236473083,0.05070078745484352,0.025143222883343697,24632,1.674614723299051e-39,6,0,1,5,GBYK,small,left,small,right
AssetMarker,966144946,2.3499775246727182e-42,0.33445465564727783,0.2937949299812317,0.6533804535865784,-13968,1.67441994281251e-39,6,0,1,5,GBYK,small,left,small,right
AssetMarker,130,9.183689745645554e-41,0.6405168175697327,0.052964262664318085,-0.07123711705207825,-2254,1.485788690244449e-37,6,0,1,5,GBYK,small,left,small,right
AssetMarker,966513732,9.183970005338419e-41,0.6835511326789856,0.02034895494580269,0.007222610525786877,-19501,1.4857857755436432e-37,6,0,1,5,GBYK,small,left,small,right
AssetMarker,967951233,9.184110135184851e-41,0.6442374587059021,0.05798925459384918,-0.04363691434264183,24108,1.4857872328940461e-37,6,0,1,5,GBYK,small,left,small,right
AssetMarker,962853136,2.2715048106705285e-42,0.6649619936943054,0.05070357769727707,0.025144003331661224,24412,1.674614723299051e-39,6,0,1,5,GBYK,small,left,small,right
AssetMarker,966044305,2.3499775246727182e-42,0.3352968990802765,0.29601407051086426,0.6564752459526062,1013,1.6744213441109742e-39,6,0,1,5,GBYK,small,left,small,right
AssetMarker,130,9.183689745645554e-41,0.6405037045478821,0.052989937365055084,-0.07122757285833359,-2401,1.485788690244449e-37,6,0,1,5,GBYK,small,left,small,right
AssetMarker,966540997,9.183970005338419e-41,0.683545708656311,0.020353151485323906,0.007221377920359373,-22941,1.4857857755436432e-37,6,0,1,5,GBYK,small,left,small,right
AssetMarker,967846206,9.184110135184851e-41,0.644204318523407,0.058031387627124786,-0.04356518015265465,24329,1.4857872328940461e-37,6,0,1,5,GBYK,small,left,small,right
AssetMarker,964827109,2.2715048106705285e-42,0.6649631261825562,0.05070853605866432,0.02514490857720375,24194,1.674614723299051e-39,6,0,1,5,GBYK,small,left,small,right
AssetMarker,966095916,2.3499775246727182e-42,0.33609044551849365,0.29734423756599426,0.6593158841133118,19435,1.67441994281251e-39,6,0,1,5,GBYK,small,left,small,right
AssetMarker,130,9.183689745645554e-41,0.6404781341552734,0.053012654185295105,-0.07121527194976807,-2381,1.485788690244449e-37,6,0,1,5,GBYK,small,left,small,right
AssetMarker,966513121,9.183970005338419e-41,0.6835382580757141,0.020357007160782814,0.007213966455310583,-26753,1.4857857755436432e-37,6,0,1,5,GBYK,small,left,small,right
