asset_type,parent_name,pos_x,pos_y,pos_z,participant_id,practicing,block_num,trial_num,task_type,target_size,target_loc,distractor_size,distractor_loc
Marker,edge_TL,1.1632193326950073,0.017207806929945946,0.5665133595466614,6,0,1,4,GBYK,small,right,large,left
Marker,edge_TL,1.1815201044082642,0.01570914499461651,0.5635644793510437,6,0,1,4,GBYK,small,right,large,left
Marker,edge_TL,1.1609066724777222,0.016062675043940544,0.5859330296516418,6,0,1,4,GBYK,small,right,large,left
Marker,edge_TR,0.0038130441680550575,0.012651239521801472,0.5722340941429138,6,0,1,4,GBYK,small,right,large,left
Marker,edge_TR,0.02323889546096325,0.012852882966399193,0.5736665725708008,6,0,1,4,GBYK,small,right,large,left
Marker,edge_TR,0.024441197514533997,0.012076275423169136,0.5913018584251404,6,0,1,4,GBYK,small,right,large,left
Marker,north,0.6041215062141418,0.011006376706063747,0.5934072136878967,6,0,1,4,GBYK,small,right,large,left
Marker,north,0.571856677532196,0.011101122945547104,0.5932039022445679,6,0,1,4,GBYK,small,right,large,left
Marker,north,0.5870551466941833,0.012739117257297039,0.5766493678092957,6,0,1,4,GBYK,small,right,large,left
Marker,edge_BR,0.0220738984644413,0.0079537658020854,0.027788758277893066,6,0,1,4,GBYK,small,right,large,left
Marker,edge_BR,0.004673190880566835,0.00804799236357212,0.024083098396658897,6,0,1,4,GBYK,small,right,large,left
Marker,edge_BR,0.022066131234169006,0.008633395656943321,0.010657593607902527,6,0,1,4,GBYK,small,right,large,left
Marker,edge_BL,1.1662499904632568,0.014712676405906677,0.021703315898776054,6,0,1,4,GBYK,small,right,large,left
Marker,edge_BL,1.1478294134140015,0.014163770712912083,0.024881836026906967,6,0,1,4,GBYK,small,right,large,left
Marker,edge_BL,1.145492434501648,0.013817052356898785,0.008803840726613998,6,0,1,4,GBYK,small,right,large,left
Marker,hand,0.4030977785587311,0.03276132419705391,0.19768504798412323,6,0,1,4,GBYK,small,right,large,left
Marker,hand,0.5385199785232544,0.032733600586652756,0.30944839119911194,6,0,1,4,GBYK,small,right,large,left
Marker,hand,0.5052337646484375,0.03318006172776222,0.33498552441596985,6,0,1,4,GBYK,small,right,large,left
Marker,all,1.1632193326950073,0.017207806929945946,0.5665133595466614,6,0,1,4,GBYK,small,right,large,left
Marker,all,1.1815201044082642,0.01570914499461651,0.5635644793510437,6,0,1,4,GBYK,small,right,large,left
Marker,all,1.1609066724777222,0.016062675043940544,0.5859330296516418,6,0,1,4,GBYK,small,right,large,left
Marker,all,0.0038130441680550575,0.012651239521801472,0.5722340941429138,6,0,1,4,GBYK,small,right,large,left
Marker,all,0.02323889546096325,0.012852882966399193,0.5736665725708008,6,0,1,4,GBYK,small,right,large,left
Marker,all,0.024441197514533997,0.012076275423169136,0.5913018584251404,6,0,1,4,GBYK,small,right,large,left
Marker,all,0.6041215062141418,0.011006376706063747,0.5934072136878967,6,0,1,4,GBYK,small,right,large,left
Marker,all,0.571856677532196,0.011101122945547104,0.5932039022445679,6,0,1,4,GBYK,small,right,large,left
Marker,all,0.5870551466941833,0.012739117257297039,0.5766493678092957,6,0,1,4,GBYK,small,right,large,left
Marker,all,0.0220738984644413,0.0079537658020854,0.027788758277893066,6,0,1,4,GBYK,small,right,large,left
Marker,all,0.004673190880566835,0.00804799236357212,0.024083098396658897,6,0,1,4,GBYK,small,right,large,left
Marker,all,0.022066131234169006,0.008633395656943321,0.010657593607902527,6,0,1,4,GBYK,small,right,large,left
Marker,all,1.1662499904632568,0.014712676405906677,0.021703315898776054,6,0,1,4,GBYK,small,right,large,left
Marker,all,1.1478294134140015,0.014163770712912083,0.024881836026906967,6,0,1,4,GBYK,small,right,large,left
Marker,all,1.145492434501648,0.013817052356898785,0.008803840726613998,6,0,1,4,GBYK,small,right,large,left
Marker,all,0.4030977785587311,0.03276132419705391,0.19768504798412323,6,0,1,4,GBYK,small,right,large,left
Marker,all,0.5385199785232544,0.032733600586652756,0.30944839119911194,6,0,1,4,GBYK,small,right,large,left
Marker,all,0.5052337646484375,0.03318006172776222,0.33498552441596985,6,0,1,4,GBYK,small,right,large,left
Marker,edge_TL,1.1632126569747925,0.017232686281204224,0.5664718151092529,6,0,1,4,GBYK,small,right,large,left
Marker,edge_TL,1.1815202236175537,0.015715133398771286,0.5635691285133362,6,0,1,4,GBYK,small,right,large,left
Marker,edge_TL,1.1609090566635132,0.016062496230006218,0.5859321355819702,6,0,1,4,GBYK,small,right,large,left
Marker,edge_TR,0.003810768248513341,0.012649538926780224,0.5722320675849915,6,0,1,4,GBYK,small,right,large,left
Marker,edge_TR,0.02323223277926445,0.012766541913151741,0.5737398266792297,6,0,1,4,GBYK,small,right,large,left
Marker,edge_TR,0.024433830752968788,0.012068383395671844,0.5913001894950867,6,0,1,4,GBYK,small,right,large,left
Marker,north,0.6042429804801941,0.011018886230885983,0.5933902263641357,6,0,1,4,GBYK,small,right,large,left
Marker,north,0.5718561410903931,0.011104372330009937,0.5932085514068604,6,0,1,4,GBYK,small,right,large,left
