asset_type,frame_number,participant_id,practicing,block_num,trial_num,task_type,target_size,target_loc,distractor_size,distractor_loc
Prefix,1158583,6,0,2,1,KBYG,small,right,small,left
Prefix,1158584,6,0,2,1,KBYG,small,right,small,left
Prefix,1158585,6,0,2,1,KBYG,small,right,small,left
Prefix,1158586,6,0,2,1,KBYG,small,right,small,left
Prefix,1158587,6,0,2,1,KBYG,small,right,small,left
Prefix,1158588,6,0,2,1,KBYG,small,right,small,left
Prefix,1158589,6,0,2,1,KBYG,small,right,small,left
Prefix,1158590,6,0,2,1,KBYG,small,right,small,left
Prefix,1158591,6,0,2,1,KBYG,small,right,small,left
Prefix,1158592,6,0,2,1,KBYG,small,right,small,left
Prefix,1158593,6,0,2,1,KBYG,small,right,small,left
Prefix,1158594,6,0,2,1,KBYG,small,right,small,left
Prefix,1158595,6,0,2,1,KBYG,small,right,small,left
Prefix,1158596,6,0,2,1,KBYG,small,right,small,left
Prefix,1158597,6,0,2,1,KBYG,small,right,small,left
Prefix,1158598,6,0,2,1,KBYG,small,right,small,left
Prefix,1158599,6,0,2,1,KBYG,small,right,small,left
Prefix,1158600,6,0,2,1,KBYG,small,right,small,left
Prefix,1158601,6,0,2,1,KBYG,small,right,small,left
Prefix,1158602,6,0,2,1,KBYG,small,right,small,left
Prefix,1158603,6,0,2,1,KBYG,small,right,small,left
Prefix,1158604,6,0,2,1,KBYG,small,right,small,left
Prefix,1158605,6,0,2,1,KBYG,small,right,small,left
Prefix,1158606,6,0,2,1,KBYG,small,right,small,left
Prefix,1158607,6,0,2,1,KBYG,small,right,small,left
Prefix,1158608,6,0,2,1,KBYG,small,right,small,left
Prefix,1158609,6,0,2,1,KBYG,small,right,small,left
Prefix,1158610,6,0,2,1,KBYG,small,right,small,left
Prefix,1158611,6,0,2,1,KBYG,small,right,small,left
Prefix,1158612,6,0,2,1,KBYG,small,right,small,left
Prefix,1158613,6,0,2,1,KBYG,small,right,small,left
Prefix,1158614,6,0,2,1,KBYG,small,right,small,left
Prefix,1158615,6,0,2,1,KBYG,small,right,small,left
Prefix,1158616,6,0,2,1,KBYG,small,right,small,left
Prefix,1158617,6,0,2,1,KBYG,small,right,small,left
Prefix,1158618,6,0,2,1,KBYG,small,right,small,left
Prefix,1158619,6,0,2,1,KBYG,small,right,small,left
Prefix,1158620,6,0,2,1,KBYG,small,right,small,left
Prefix,1158621,6,0,2,1,KBYG,small,right,small,left
Prefix,1158622,6,0,2,1,KBYG,small,right,small,left
Prefix,1158623,6,0,2,1,KBYG,small,right,small,left
Prefix,1158624,6,0,2,1,KBYG,small,right,small,left
Prefix,1158625,6,0,2,1,KBYG,small,right,small,left
Prefix,1158626,6,0,2,1,KBYG,small,right,small,left
Prefix,1158627,6,0,2,1,KBYG,small,right,small,left
Prefix,1158628,6,0,2,1,KBYG,small,right,small,left
Prefix,1158629,6,0,2,1,KBYG,small,right,small,left
Prefix,1158630,6,0,2,1,KBYG,small,right,small,left
Prefix,1158631,6,0,2,1,KBYG,small,right,small,left
Prefix,1158632,6,0,2,1,KBYG,small,right,small,left
Prefix,1158633,6,0,2,1,KBYG,small,right,small,left
Prefix,1158634,6,0,2,1,KBYG,small,right,small,left
Prefix,1158635,6,0,2,1,KBYG,small,right,small,left
Prefix,1158636,6,0,2,1,KBYG,small,right,small,left
Prefix,1158637,6,0,2,1,KBYG,small,right,small,left
Prefix,1158638,6,0,2,1,KBYG,small,right,small,left
Prefix,1158640,6,0,2,1,KBYG,small,right,small,left
Prefix,1158641,6,0,2,1,KBYG,small,right,small,left
Prefix,1158642,6,0,2,1,KBYG,small,right,small,left
Prefix,1158643,6,0,2,1,KBYG,small,right,small,left
Prefix,1158644,6,0,2,1,KBYG,small,right,small,left
Prefix,1158645,6,0,2,1,KBYG,small,right,small,left
Prefix,1158646,6,0,2,1,KBYG,small,right,small,left
Prefix,1158647,6,0,2,1,KBYG,small,right,small,left
Prefix,1158648,6,0,2,1,KBYG,small,right,small,left
Prefix,1158649,6,0,2,1,KBYG,small,right,small,left
Prefix,1158650,6,0,2,1,KBYG,small,right,small,left
Prefix,1158651,6,0,2,1,KBYG,small,right,small,left
Prefix,1158652,6,0,2,1,KBYG,small,right,small,left
Prefix,1158653,6,0,2,1,KBYG,small,right,small,left
Prefix,1158654,6,0,2,1,KBYG,small,right,small,left
Prefix,1158655,6,0,2,1,KBYG,small,right,small,left
Prefix,1158656,6,0,2,1,KBYG,small,right,small,left
Prefix,1158657,6,0,2,1,KBYG,small,right,small,left
Prefix,1158658,6,0,2,1,KBYG,small,right,small,left
Prefix,1158659,6,0,2,1,KBYG,small,right,small,left
Prefix,1158660,6,0,2,1,KBYG,small,right,small,left
Prefix,1158661,6,0,2,1,KBYG,small,right,small,left
Prefix,1158662,6,0,2,1,KBYG,small,right,small,left
Prefix,1158663,6,0,2,1,KBYG,small,right,small,left
Prefix,1158664,6,0,2,1,KBYG,small,right,small,left
Prefix,1158665,6,0,2,1,KBYG,small,right,small,left
Prefix,1158666,6,0,2,1,KBYG,small,right,small,left
Prefix,1158667,6,0,2,1,KBYG,small,right,small,left
Prefix,1158668,6,0,2,1,KBYG,small,right,small,left
Prefix,1158669,6,0,2,1,KBYG,small,right,small,left
Prefix,1158670,6,0,2,1,KBYG,small,right,small,left
Prefix,1158671,6,0,2,1,KBYG,small,right,small,left
Prefix,1158672,6,0,2,1,KBYG,small,right,small,left
Prefix,1158673,6,0,2,1,KBYG,small,right,small,left
Prefix,1158674,6,0,2,1,KBYG,small,right,small,left
