asset_type,asset_ID,pos_x,pos_y,pos_z,rot_w,rot_x,rot_y,rot_z,error,tracking_validity,participant_id,practicing,block_num,trial_num,task_type,target_size,target_loc,distractor_size,distractor_loc
RigidBody,5,0.5877056121826172,0.011619937606155872,0.5877525210380554,0.0039437515661120415,-0.016114652156829834,-0.00242978404276073,0.9998594522476196,0.00018976842693518847,1,6,0,2,3,KBYG,large,right,small,left
RigidBody,1,0.01627112552523613,0.008206932805478573,0.020836852490901947,-0.002184893935918808,0.0006821334827691317,-0.0011442909017205238,0.9999967813491821,2.813516039168462e-5,1,6,0,2,3,KBYG,large,right,small,left
RigidBody,2,1.1531946659088135,0.014229269698262215,0.018459951505064964,0.002893890254199505,0.0017417182680219412,0.008566432632505894,0.9999576807022095,5.145212708157487e-5,1,6,0,2,3,KBYG,large,right,small,left
RigidBody,6,0.5136140584945679,0.03314121812582016,0.3153775632381439,0.0007257101242430508,-0.034822944551706314,-0.0008908663876354694,0.9993928670883179,0.0011782943038269877,1,6,0,2,3,KBYG,large,right,small,left
RigidBody,3,1.1685466766357422,0.016330955550074577,0.5720074772834778,-0.0009194013546220958,-0.001190996146760881,0.00283233099617064,0.9999948740005493,0.00016490480629727244,1,6,0,2,3,KBYG,large,right,small,left
RigidBody,4,0.01714841090142727,0.01252915058284998,0.5790385007858276,-0.0027990785893052816,-0.004188379738479853,-0.0006430285284295678,0.9999871253967285,0.0003737950755748898,1,6,0,2,3,KBYG,large,right,small,left
RigidBody,5,0.5877171158790588,0.011623243801295757,0.5877496600151062,0.003839072771370411,-0.01599358767271042,-0.0022335699759423733,0.9998623132705688,0.00019208842422813177,1,6,0,2,3,KBYG,large,right,small,left
RigidBody,1,0.016270717605948448,0.008204484358429909,0.02084013633430004,-0.0025275081861764193,0.0007087890990078449,-0.0013462486676871777,0.9999957084655762,3.189452036167495e-5,1,6,0,2,3,KBYG,large,right,small,left
RigidBody,2,1.1531927585601807,0.014228163287043571,0.01846027933061123,0.00273536192253232,0.0018174361903220415,0.008462101221084595,0.999958872795105,5.212265023146756e-5,1,6,0,2,3,KBYG,large,right,small,left
RigidBody,6,0.5142887830734253,0.03316066786646843,0.31598010659217834,-8.125151362037286e-5,-0.035212475806474686,-0.002246355405077338,0.9993773102760315,0.0011659814044833183,1,6,0,2,3,KBYG,large,right,small,left
