asset_type,frame_number,participant_id,practicing,block_num,trial_num,task_type,target_size,target_loc,distractor_size,distractor_loc
Prefix,985842,1,1,1,1,KBYG,large,left,small,right
Prefix,985843,1,1,1,1,KBYG,large,left,small,right
Prefix,985844,1,1,1,1,KBYG,large,left,small,right
Prefix,985845,1,1,1,1,KBYG,large,left,small,right
Prefix,985846,1,1,1,1,KBYG,large,left,small,right
Prefix,985847,1,1,1,1,KBYG,large,left,small,right
Prefix,985848,1,1,1,1,KBYG,large,left,small,right
Prefix,985849,1,1,1,1,KBYG,large,left,small,right
Prefix,985850,1,1,1,1,KBYG,large,left,small,right
Prefix,985851,1,1,1,1,KBYG,large,left,small,right
Prefix,985852,1,1,1,1,KBYG,large,left,small,right
Prefix,985853,1,1,1,1,KBYG,large,left,small,right
Prefix,985854,1,1,1,1,KBYG,large,left,small,right
Prefix,985855,1,1,1,1,KBYG,large,left,small,right
Prefix,985856,1,1,1,1,KBYG,large,left,small,right
Prefix,985857,1,1,1,1,KBYG,large,left,small,right
Prefix,985858,1,1,1,1,KBYG,large,left,small,right
Prefix,985859,1,1,1,1,KBYG,large,left,small,right
Prefix,985860,1,1,1,1,KBYG,large,left,small,right
Prefix,985861,1,1,1,1,KBYG,large,left,small,right
Prefix,985862,1,1,1,1,KBYG,large,left,small,right
Prefix,985863,1,1,1,1,KBYG,large,left,small,right
Prefix,985864,1,1,1,1,KBYG,large,left,small,right
Prefix,985865,1,1,1,1,KBYG,large,left,small,right
Prefix,985866,1,1,1,1,KBYG,large,left,small,right
Prefix,985867,1,1,1,1,KBYG,large,left,small,right
Prefix,985868,1,1,1,1,KBYG,large,left,small,right
Prefix,985869,1,1,1,1,KBYG,large,left,small,right
Prefix,985870,1,1,1,1,KBYG,large,left,small,right
Prefix,985871,1,1,1,1,KBYG,large,left,small,right
Prefix,985872,1,1,1,1,KBYG,large,left,small,right
Prefix,985873,1,1,1,1,KBYG,large,left,small,right
Prefix,985874,1,1,1,1,KBYG,large,left,small,right
Prefix,985875,1,1,1,1,KBYG,large,left,small,right
Prefix,985876,1,1,1,1,KBYG,large,left,small,right
Prefix,985877,1,1,1,1,KBYG,large,left,small,right
Prefix,985878,1,1,1,1,KBYG,large,left,small,right
Prefix,985879,1,1,1,1,KBYG,large,left,small,right
Prefix,985880,1,1,1,1,KBYG,large,left,small,right
Prefix,985881,1,1,1,1,KBYG,large,left,small,right
Prefix,985882,1,1,1,1,KBYG,large,left,small,right
Prefix,985883,1,1,1,1,KBYG,large,left,small,right
Prefix,985884,1,1,1,1,KBYG,large,left,small,right
Prefix,985885,1,1,1,1,KBYG,large,left,small,right
Prefix,985886,1,1,1,1,KBYG,large,left,small,right
Prefix,985887,1,1,1,1,KBYG,large,left,small,right
Prefix,985888,1,1,1,1,KBYG,large,left,small,right
Prefix,985889,1,1,1,1,KBYG,large,left,small,right
Prefix,985890,1,1,1,1,KBYG,large,left,small,right
Prefix,985891,1,1,1,1,KBYG,large,left,small,right
Prefix,985892,1,1,1,1,KBYG,large,left,small,right
