asset_type,asset_ID,pos_x,pos_y,pos_z,rot_w,rot_x,rot_y,rot_z,error,tracking_validity,participant_id,practicing,block_num,trial_num,task_type,target_size,target_loc,distractor_size,distractor_loc
RigidBody,1,0.5884294509887695,0.06617841869592667,0.25585153698921204,-0.12467775493860245,-0.0006423540762625635,-0.003705492941662669,0.9921901822090149,0.0,0,1,1,1,1,KBYG,large,left,small,right
RigidBody,2,1.344242811203003,0.019977597519755363,1.5672898292541504,0.0008896691142581403,-0.9423164129257202,-0.002062639920040965,0.33471590280532837,0.001792085007764399,1,1,1,1,1,KBYG,large,left,small,right
RigidBody,3,0.6252806186676025,0.3149184584617615,2.1286323070526123,0.5713986158370972,-0.4192211925983429,-0.4227115511894226,-0.5648648738861084,0.0,0,1,1,1,1,KBYG,large,left,small,right
RigidBody,1,0.5884294509887695,0.06617841869592667,0.25585153698921204,-0.12467775493860245,-0.0006423540762625635,-0.003705492941662669,0.9921901822090149,0.0,0,1,1,1,1,KBYG,large,left,small,right
RigidBody,2,1.3442318439483643,0.019969357177615166,1.567314624786377,0.0009355130605399609,-0.9423076510429382,-0.0019716944079846144,0.3347410559654236,0.0017580159474164248,1,1,1,1,1,KBYG,large,left,small,right
RigidBody,3,0.6252806186676025,0.3149184584617615,2.1286323070526123,0.5713986158370972,-0.4192211925983429,-0.4227115511894226,-0.5648648738861084,0.0,0,1,1,1,1,KBYG,large,left,small,right
RigidBody,1,0.5884294509887695,0.06617841869592667,0.25585153698921204,-0.12467775493860245,-0.0006423540762625635,-0.003705492941662669,0.9921901822090149,0.0,0,1,1,1,1,KBYG,large,left,small,right
RigidBody,2,1.3442208766937256,0.01997876912355423,1.5672481060028076,0.0008683142950758338,-0.9422822594642639,-0.0020148600451648235,0.3348124325275421,0.0017760521732270718,1,1,1,1,1,KBYG,large,left,small,right
RigidBody,3,0.6252806186676025,0.3149184584617615,2.1286323070526123,0.5713986158370972,-0.4192211925983429,-0.4227115511894226,-0.5648648738861084,0.0,0,1,1,1,1,KBYG,large,left,small,right
RigidBody,1,0.5884294509887695,0.06617841869592667,0.25585153698921204,-0.12467775493860245,-0.0006423540762625635,-0.003705492941662669,0.9921901822090149,0.0,0,1,1,1,1,KBYG,large,left,small,right
RigidBody,2,1.3442227840423584,0.019981341436505318,1.567320704460144,0.0010607708245515823,-0.9422237873077393,-0.0018551478860899806,0.33497732877731323,0.0017659255536273122,1,1,1,1,1,KBYG,large,left,small,right
RigidBody,3,0.6252806186676025,0.3149184584617615,2.1286323070526123,0.5713986158370972,-0.4192211925983429,-0.4227115511894226,-0.5648648738861084,0.0,0,1,1,1,1,KBYG,large,left,small,right
RigidBody,1,0.5884294509887695,0.06617841869592667,0.25585153698921204,-0.12467775493860245,-0.0006423540762625635,-0.003705492941662669,0.9921901822090149,0.0,0,1,1,1,1,KBYG,large,left,small,right
RigidBody,2,1.3442094326019287,0.019972125068306923,1.5672876834869385,0.0008573252707719803,-0.9422979950904846,-0.0018324212869629264,0.33476924896240234,0.0017534017097204924,1,1,1,1,1,KBYG,large,left,small,right
RigidBody,3,0.6252806186676025,0.3149184584617615,2.1286323070526123,0.5713986158370972,-0.4192211925983429,-0.4227115511894226,-0.5648648738861084,0.0,0,1,1,1,1,KBYG,large,left,small,right
RigidBody,1,0.5884294509887695,0.06617841869592667,0.25585153698921204,-0.12467775493860245,-0.0006423540762625635,-0.003705492941662669,0.9921901822090149,0.0,0,1,1,1,1,KBYG,large,left,small,right
RigidBody,2,1.3442102670669556,0.019987881183624268,1.5672311782836914,0.0009580070618540049,-0.9422451257705688,-0.0018300797091796994,0.33491799235343933,0.0017558798426762223,1,1,1,1,1,KBYG,large,left,small,right
